153 	Diante Garrett 	PG 	25 	UTA 	44 	0 	14.7 	1.4 	3.4 	.417 	0.4 	1.0 	.381 	1.1 	2.5 	.431 	0.1 	0.1 	.833 	0.2 	1.3 	1.5 	1.9 	0.6 	0.1 	1.1 	1.0 	3.3
154 	Marc Gasol 	C 	29 	MEM 	32 	32 	32.8 	5.1 	11.3 	.449 	0.0 	0.1 	.000 	5.1 	11.2 	.451 	3.1 	3.8 	.818 	1.2 	5.2 	6.4 	3.5 	1.0 	1.2 	1.8 	2.8 	13.2
155 	Pau Gasol 	C 	33 	LAL 	45 	45 	31.7 	6.9 	14.8 	.469 	0.1 	0.3 	.308 	6.8 	14.5 	.472 	3.0 	4.1 	.749 	2.1 	8.0 	10.1 	3.4 	0.4 	1.5 	2.4 	2.1 	17.0
156 	Rudy Gay 	SF 	27 	TOT 	49 	49 	34.9 	7.4 	16.4 	.449 	1.0 	2.8 	.350 	6.4 	13.7 	.469 	4.0 	4.9 	.814 	1.5 	4.7 	6.2 	2.8 	1.4 	0.9 	3.1 	2.4 	19.8
157 	Alonzo Gee 	SF 	26 	CLE 	41 	18 	16.1 	1.2 	3.3 	.372 	0.3 	0.9 	.289 	1.0 	2.4 	.404 	0.6 	0.8 	.750 	0.5 	1.8 	2.3 	0.7 	0.7 	0.1 	0.8 	1.3 	3.3
159 	Taj Gibson 	PF 	28 	CHI 	54 	8 	29.3 	5.2 	10.8 	.485 	0.0 	0.1 	.000 	5.2 	10.7 	.490 	2.4 	3.4 	.725 	2.3 	4.3 	6.6 	1.2 	0.5 	1.5 	1.8 	2.7 	12.9
160 	Manu Ginobili 	SG 	36 	SAS 	45 	2 	23.2 	4.1 	9.1 	.453 	1.3 	3.8 	.345 	2.8 	5.3 	.529 	2.4 	2.8 	.863 	0.5 	2.8 	3.3 	4.4 	1.0 	0.2 	2.1 	1.9 	12.0
161 	Rudy Gobert 	C 	21 	UTA 	29 	0 	12.2 	0.8 	1.7 	.440 	0.0 	0.0 	0.0	0.8 	1.7 	.440 	1.1 	2.1 	.517 	1.4 	2.9 	4.2 	0.2 	0.2 	1.0 	0.9 	1.8 	2.6
164 	Ben Gordon 	SG 	30 	CHA 	19 	0 	14.7 	1.9 	5.7 	.343 	0.4 	1.5 	.276 	1.5 	4.2 	.367 	0.9 	1.1 	.810 	0.2 	1.3 	1.4 	1.1 	0.5 	0.1 	1.1 	0.9 	5.2
165 	Eric Gordon 	SG 	25 	NOP 	52 	52 	32.5 	5.7 	13.3 	.432 	1.5 	4.0 	.382 	4.2 	9.3 	.453 	2.9 	3.7 	.780 	0.5 	2.2 	2.7 	3.2 	1.3 	0.2 	2.0 	1.8 	15.8
